"Großglockner","3798","Kärnten/Tirol","Glocknergruppe Hohe Tauern","AT"
"Wildspitze","3768","Tirol","Ötztaler Alpen","AT"
"Weißkugel","3738","Tirol/Südtirol (Italien)","Ötztaler Alpen","AT"
"Glocknerwand","3721","Kärnten/Tirol","Glocknergruppe Hohe Tauern	","AT"
"Großvenediger","3662","Tirol/Salzburg","Venedigergruppe Hohe Tauern","AT"
"Hinterer Brochkogel","3625","Tirol ","Ötztaler Alpen","AT"
"Hintere Schwärze","3624","Tirol/Südtirol (Italien)","Ötztaler Alpen","AT"
"Similaun","3599","Tirol/Südtirol (Italien)","Ötztaler Alpen","AT"
"Vorderer Brochkogel","3565","Tirol","	Ötztaler Alpen","AT"
"Großes Wiesbachhorn","3564","Salzburg","Glocknergruppe Hohe Tauern","AT"
"Rainerhorn","3559","Tirol","Venedigergruppe Hohe Tauern","AT"
"Großer Ramolkogel","3550","Tirol","Ötztaler Alpen","AT"
"Hochvernagtspitze","3539","Tirol","Ötztaler Alpen","AT"
"Schalfkogel","3537","Tirol","Ötztaler Alpen","AT"
"Watzespitze","3533","Tirol","Ötztaler Alpen","AT"
"Mutmalspitze","3522","Tirol","Ötztaler Alpen","AT"
"Weißseespitze","3518","Tirol/Südtirol (Italien)","Ötztaler Alpen","AT"
"Fineilspitze","3514","Tirol/Südtirol (Italien)","Ötztaler Alpen","AT"
"Hochfeiler","3510","Tirol/Südtirol (Italien)","Zillertaler Alpen","AT"
"Zuckerhütl","3507","Tirol","Stubaier Alpen","AT"
"Großglockner","3798","Kärnten/Tirol","Glocknergruppe Hohe Tauern","AT"
"Wildspitze","3768","Tirol","Ötztaler Alpen","AT"
"Großvenediger","3662","Tirol/Salzburg","Venedigergruppe Hohe Tauern","AT"
"Hochfeiler","3510","Tirol/Südtirol (Italien)","Zillertaler Alpen","AT"
"Zuckerhütl","3507","Tirol","Stubaier Alpen","AT"
"Hochalmspitze","3360","Kärnten","Ankogelgruppe Hohe Tauern","AT"
"Petzeck","3283","Kärnten","Schobergruppe Hohe Tauern","AT"
"Hocharn","3254","Kärnten/Salzburg","Goldberggruppe Hohe Tauern","AT"
"Großer Muntanitz","3232","Tirol","Granatspitzgruppe Hohe Tauern","AT"
"Hoher Riffler","3168","Tirol","Verwall","AT"
"Parseierspitze","3036","Tirol","Lechtaler Alpen","AT"
"Hoher Dachstein","2995","Oberösterreich/Steiermark","Dachsteingebirge","AT"
"Schesaplana","2965","Vorarlberg","Rätikon","AT"
"Weiße Spitze","2962","Tirol","Villgratner Berge Hohe Tauern	","AT"
"Zugspitze","2962","Tirol/Bayern (Deutschland)","Wettersteingebirge","AT"
"Hochkönig","2941","Salzburg","Berchtesgadener Alpen","AT"
"Lizumer Reckner","2884","Tirol","Tuxer Alpen","AT"
"Hochgolling","2863","Steiermark/Salzburg","Schladminger Tauern Niedere Tauern","AT"
"Mölltaler Polinik","2784","Kärnten","Kreuzeckgruppe Hohe Tauern","AT"
"Hohe Warte","2780","Kärnten","Karnische Alpen","AT"
"Große Sandspitze","2770","Tirol","Gailtaler Alpen","AT"
"Untere Wildgrubenspitze","2753","Vorarlberg","Lechquellengebirge","AT"
"Birkkarspitze","2749","Tirol","Karwendel","AT"
"Weißeck","2711","Salzburg","Radstädter Tauern Niedere Tauern","AT"
"Großer Krottenkopf","2656","Tirol","Allgäuer Alpen","AT"
"Birnhorn","2634","Salzburg","Leoganger Steinberge","AT"
"Kreuzjoch","2558","Tirol","Kitzbühler Alpen","AT"
"Großer Priel","2515","Oberösterreich","Totes Gebirge","AT"
"Großes Ochsenhorn","2511","Salzburg","Loferer Steinberge","AT"
"Rettlkirchspitze","2475","Steiermark","Rottenmanner und Wölzer Tauern Niedere Tauern","AT"
"Eisenhut","2441","Steiermark","Gurktaler Alpen","AT"
"Raucheck","2430","Salzburg","Tennengebirge","AT"
"Geierhaupt","2417","Steiermark","Seckauer Tauern Niedere Tauern","AT"
"Zirbitzkogel","2396","Steiermark","Lavanttaler Alpen","AT"
"Hochtor","2369","Steiermark","Ennstaler Alpen","AT"
"Ellmauer Halt","2344","Tirol","Kaisergebirge","AT"
"Daniel","2340","Tirol","Ammergauer Alpen","AT"
"Hochiss","2299","Tirol","Brandenberger Alpen (Rofan)","AT"
"Hochschwab","2277","Steiermark","Hochschwabgruppe","AT"
"Hochstuhl","2237","Kärnten","	Karawanken","AT"
"Glatthorn","2133","Vorarlberg","Bregenzerwaldgebirge","AT"
"Schneeberg","2076","Niederösterreich","Rax-Schneeberg-Gruppe","AT"
"Gamsfeld","2027","Salzburg","Salzkammergut-Berge","AT"
"Hohe Veitsch","1981","Steiermark","Mürzsteger Alpen","AT"
"Hoher Nock","1963","Oberösterreich","Oberösterreichische Voralpen","AT"
"Sonntagshorn","1961","Salzburg/Bayern (Deutschland)","Chiemgauer Alpen","AT"
"Hochstadl","1919","Steiermark","Ybbstaler Alpen","AT"
"Stuhleck","1782","Steiermark","Randgebirge östlich der Mur","AT"
"Großer Sulzberg","1400","Niederösterreich","Türnitzer Alpen","AT"
"Reisalpe","1399","Niederösterreich","Gutensteiner Alpen","AT"
"Schöpfl","893","Niederösterreich","Wienerwald","AT"
"Großglockner","3798","Kärnten/Tirol","Glocknergruppe Hohe Tauern","AT"
"Großvenediger","3662","Tirol/Salzburg","Venedigergruppe Hohe Tauern","AT"
"Piz Buin","3312","Vorarlberg/Graubünden","Schweiz Silvretta","AT"
"Hoher Dachstein","2995","Oberösterreich/Steiermark","Dachsteingebirge","AT"
"Schneeberg","2076","Niederösterreich","Rax-Schneeberg-Gruppe","AT"
"Geschriebenstein","884","Burgenland","Günser Gebirge","AT"
"Hermannskogel","542","Wien","Wienerwald","AT"
